# x y area(micron**2) layer label
4.790454545454545610e+02 3.215261363636363512e+03 8.800000000000000000e+01 7.000000000000000000e+00 1.380000000000000000e+02
6.451724137931034875e+02 2.314103448275861865e+03 2.900000000000000000e+01 6.000000000000000000e+00 2.150000000000000000e+02
5.683333333333333712e+02 2.010333333333333258e+03 1.800000000000000000e+01 6.000000000000000000e+00 2.640000000000000000e+02
5.363571428571428896e+02 2.375428571428571558e+03 2.800000000000000000e+01 6.000000000000000000e+00 2.760000000000000000e+02
9.628421052631579187e+02 2.929526315789473756e+03 1.900000000000000000e+01 7.000000000000000000e+00 2.920000000000000000e+02
2.569135802469135683e+02 3.075296296296296077e+03 8.100000000000000000e+01 7.000000000000000000e+00 2.950000000000000000e+02
1.408775510204081627e+02 1.947530612244898066e+03 4.900000000000000000e+01 6.000000000000000000e+00 3.120000000000000000e+02
5.065714285714285552e+02 1.647326530612244824e+03 4.900000000000000000e+01 5.000000000000000000e+00 3.340000000000000000e+02
5.191200000000000045e+02 1.571000000000000000e+03 2.500000000000000000e+01 5.000000000000000000e+00 3.350000000000000000e+02
4.633076923076923208e+02 2.703076923076922867e+03 2.600000000000000000e+01 6.000000000000000000e+00 3.590000000000000000e+02
4.089024390243902189e+02 2.836878048780487916e+03 4.100000000000000000e+01 7.000000000000000000e+00 3.630000000000000000e+02
8.404782608695652470e+02 2.384956521739130494e+03 2.300000000000000000e+01 6.000000000000000000e+00 3.740000000000000000e+02
4.022727272727272663e+01 2.733272727272727479e+03 4.400000000000000000e+01 6.000000000000000000e+00 3.780000000000000000e+02
6.677272727272727479e+02 3.013272727272727479e+03 2.200000000000000000e+01 7.000000000000000000e+00 4.110000000000000000e+02
9.419199999999999591e+02 1.895200000000000045e+03 2.500000000000000000e+01 5.000000000000000000e+00 4.180000000000000000e+02
7.676595744680851396e+01 2.098914893617021335e+03 4.700000000000000000e+01 6.000000000000000000e+00 4.320000000000000000e+02
8.297999999999999545e+02 1.933166666666666742e+03 3.000000000000000000e+01 6.000000000000000000e+00 4.960000000000000000e+02
5.459680851063830005e+02 2.061680851063829778e+03 9.400000000000000000e+01 6.000000000000000000e+00 5.070000000000000000e+02
5.541000000000000227e+02 3.026150000000000091e+03 2.000000000000000000e+01 7.000000000000000000e+00 5.530000000000000000e+02
8.403797468354430293e+02 1.211468354430379804e+03 7.900000000000000000e+01 3.000000000000000000e+00 5.550000000000000000e+02
6.404117647058823195e+02 3.194058823529411711e+03 1.700000000000000000e+01 7.000000000000000000e+00 5.710000000000000000e+02
4.938446601941747645e+02 2.920427184466019298e+03 1.030000000000000000e+02 7.000000000000000000e+00 6.230000000000000000e+02
3.484556962025316693e+02 2.819177215189873550e+03 7.900000000000000000e+01 7.000000000000000000e+00 6.400000000000000000e+02
2.379069767441860392e+02 2.307054263565891688e+03 1.290000000000000000e+02 6.000000000000000000e+00 6.440000000000000000e+02
9.644705882352941444e+02 8.498823529411764639e+02 1.700000000000000000e+01 3.000000000000000000e+00 6.760000000000000000e+02
7.430526315789474268e+01 7.792736842105263122e+02 9.500000000000000000e+01 3.000000000000000000e+00 6.920000000000000000e+02
9.417118644067796822e+02 2.721406779661017026e+03 5.900000000000000000e+01 6.000000000000000000e+00 7.100000000000000000e+02
8.898571428571428896e+02 2.550545454545454504e+03 7.700000000000000000e+01 6.000000000000000000e+00 7.230000000000000000e+02
5.662500000000000000e+02 2.362906250000000000e+03 3.200000000000000000e+01 6.000000000000000000e+00 7.240000000000000000e+02
8.925000000000000000e+02 2.496720588235294144e+03 6.800000000000000000e+01 6.000000000000000000e+00 7.470000000000000000e+02
2.163548387096774093e+02 3.214258064516129252e+03 3.100000000000000000e+01 7.000000000000000000e+00 7.570000000000000000e+02
1.605247524752475385e+02 1.963792079207920779e+03 1.010000000000000000e+02 6.000000000000000000e+00 7.640000000000000000e+02
6.188378378378378102e+02 2.108612612612612793e+03 1.110000000000000000e+02 6.000000000000000000e+00 7.750000000000000000e+02
5.368043478260869961e+02 8.256086956521738784e+02 4.600000000000000000e+01 3.000000000000000000e+00 7.980000000000000000e+02
9.682727272727272521e+02 6.070000000000000000e+02 2.200000000000000000e+01 3.000000000000000000e+00 8.060000000000000000e+02
7.685555555555555429e+02 1.657533333333333303e+03 4.500000000000000000e+01 5.000000000000000000e+00 8.150000000000000000e+02
7.863103448275861638e+02 2.581844827586206975e+03 5.800000000000000000e+01 6.000000000000000000e+00 8.180000000000000000e+02
9.598750000000000000e+02 1.938906250000000000e+03 3.200000000000000000e+01 5.000000000000000000e+00 8.450000000000000000e+02
8.298461538461538112e+02 2.684679487179487296e+03 7.800000000000000000e+01 6.000000000000000000e+00 8.570000000000000000e+02
5.365396825396825307e+02 2.252730158730158564e+03 6.300000000000000000e+01 6.000000000000000000e+00 8.650000000000000000e+02
6.606666666666666288e+01 9.598666666666666742e+02 7.500000000000000000e+01 3.000000000000000000e+00 8.730000000000000000e+02
4.170212765957446663e+02 1.215851063829787336e+03 4.700000000000000000e+01 3.000000000000000000e+00 9.040000000000000000e+02
5.982857142857143344e+02 1.569392857142857110e+03 5.600000000000000000e+01 5.000000000000000000e+00 9.250000000000000000e+02
3.675277777777777715e+02 1.306694444444444343e+03 3.600000000000000000e+01 4.000000000000000000e+00 9.260000000000000000e+02
3.010640000000000214e+02 2.417199999999999818e+03 1.250000000000000000e+02 6.000000000000000000e+00 9.300000000000000000e+02
7.931935483870968255e+02 3.253000000000000000e+03 3.100000000000000000e+01 7.000000000000000000e+00 9.320000000000000000e+02
8.805106382978723332e+02 1.425829787234042442e+03 4.700000000000000000e+01 5.000000000000000000e+00 9.360000000000000000e+02
9.946363636363636260e+02 1.632863636363636260e+03 2.200000000000000000e+01 5.000000000000000000e+00 9.380000000000000000e+02
9.181250000000000000e+02 3.215312500000000000e+03 1.600000000000000000e+01 7.000000000000000000e+00 9.420000000000000000e+02
8.332222222222221717e+02 2.275222222222222172e+03 9.000000000000000000e+00 6.000000000000000000e+00 9.590000000000000000e+02
5.776086956521738784e+02 1.052217391304347757e+03 4.600000000000000000e+01 3.000000000000000000e+00 9.920000000000000000e+02
4.084594594594594810e+02 3.117621621621621671e+03 3.700000000000000000e+01 7.000000000000000000e+00 9.960000000000000000e+02
2.588269230769230944e+02 1.235605769230769283e+03 2.080000000000000000e+02 3.000000000000000000e+00 9.990000000000000000e+02
4.744687500000000000e+02 3.255343750000000000e+03 3.200000000000000000e+01 7.000000000000000000e+00 1.018000000000000000e+03
5.118717948717948616e+02 3.031051282051282215e+03 3.900000000000000000e+01 7.000000000000000000e+00 1.024000000000000000e+03
5.572105263157894797e+02 2.014947368421052715e+03 1.900000000000000000e+01 6.000000000000000000e+00 1.026000000000000000e+03
4.146037735849056389e+02 1.982075471698113233e+03 5.300000000000000000e+01 6.000000000000000000e+00 1.045000000000000000e+03
9.456862745098038658e+02 2.799686274509803752e+03 5.100000000000000000e+01 6.000000000000000000e+00 1.047000000000000000e+03
4.658076923076923208e+02 1.256576923076923094e+03 2.600000000000000000e+01 4.000000000000000000e+00 1.050000000000000000e+03
6.083055555555555429e+02 1.046138888888888914e+03 3.600000000000000000e+01 3.000000000000000000e+00 1.057000000000000000e+03
6.279729729729730252e+02 2.284000000000000000e+03 3.700000000000000000e+01 6.000000000000000000e+00 1.070000000000000000e+03
2.304814814814814952e+02 3.230740740740740875e+03 2.700000000000000000e+01 7.000000000000000000e+00 1.072000000000000000e+03
1.368579234972677625e+02 9.237540983606556892e+02 1.830000000000000000e+02 3.000000000000000000e+00 1.081000000000000000e+03
7.684615384615383959e+01 3.326653846153846189e+03 2.600000000000000000e+01 7.000000000000000000e+00 1.085000000000000000e+03
9.660212765957446663e+02 2.792872340425532002e+03 4.700000000000000000e+01 6.000000000000000000e+00 1.090000000000000000e+03
8.351034482758620925e+02 2.467241379310344655e+03 2.900000000000000000e+01 6.000000000000000000e+00 1.097000000000000000e+03
9.862622950819671814e+02 2.915836065573770611e+03 6.100000000000000000e+01 7.000000000000000000e+00 1.106000000000000000e+03
7.936000000000000227e+02 2.839771428571428714e+03 3.500000000000000000e+01 7.000000000000000000e+00 1.112000000000000000e+03
2.598064516129032313e+02 1.263806451612903174e+03 3.100000000000000000e+01 4.000000000000000000e+00 1.117000000000000000e+03
7.150119047619048160e+02 1.361571428571428669e+03 8.400000000000000000e+01 5.000000000000000000e+00 1.128000000000000000e+03
8.510259740259740511e+02 2.590389610389610425e+03 7.700000000000000000e+01 6.000000000000000000e+00 1.146000000000000000e+03
7.660909090909091219e+02 3.290045454545454504e+03 2.200000000000000000e+01 7.000000000000000000e+00 1.154000000000000000e+03
9.931000000000000227e+02 1.647766666666666652e+03 6.000000000000000000e+01 5.000000000000000000e+00 1.171000000000000000e+03
7.475757575757575069e+01 2.640015151515151501e+03 6.600000000000000000e+01 6.000000000000000000e+00 1.186000000000000000e+03
7.471046511627906739e+02 1.235918604651162696e+03 8.600000000000000000e+01 4.000000000000000000e+00 1.197000000000000000e+03
3.877096774193548185e+02 1.437806451612903174e+03 3.100000000000000000e+01 5.000000000000000000e+00 1.198000000000000000e+03
1.921176470588235361e+02 1.239254901960784309e+03 5.100000000000000000e+01 3.000000000000000000e+00 1.204000000000000000e+03
9.193125000000000000e+02 1.322875000000000000e+03 1.600000000000000000e+01 5.000000000000000000e+00 1.219000000000000000e+03
2.088387096774193594e+02 3.078000000000000000e+03 3.100000000000000000e+01 7.000000000000000000e+00 1.234000000000000000e+03
8.048289473684210407e+02 2.286026315789473756e+03 7.600000000000000000e+01 6.000000000000000000e+00 1.236000000000000000e+03
7.570000000000000000e+02 6.328750000000000000e+02 1.600000000000000000e+01 3.000000000000000000e+00 1.243000000000000000e+03
7.698750000000000000e+02 6.107916666666666288e+02 2.400000000000000000e+01 3.000000000000000000e+00 1.270000000000000000e+03
6.760714285714285552e+02 1.685392857142857110e+03 2.800000000000000000e+01 5.000000000000000000e+00 1.278000000000000000e+03
9.052296296296295850e+02 1.866385185185185264e+03 1.350000000000000000e+02 5.000000000000000000e+00 1.280000000000000000e+03
8.047999999999999545e+02 1.119849999999999909e+03 2.000000000000000000e+01 3.000000000000000000e+00 1.284000000000000000e+03
9.866944444444444571e+02 3.039972222222222172e+03 3.600000000000000000e+01 7.000000000000000000e+00 1.288000000000000000e+03
7.324193548387096371e+02 1.248451612903225850e+03 3.100000000000000000e+01 4.000000000000000000e+00 1.289000000000000000e+03
6.082983870967741495e+02 2.907403225806451701e+03 1.240000000000000000e+02 7.000000000000000000e+00 1.331000000000000000e+03
5.981000000000000227e+02 2.613533333333333303e+03 3.000000000000000000e+01 6.000000000000000000e+00 1.368000000000000000e+03
3.556415094339622556e+02 3.340018867924528422e+03 1.060000000000000000e+02 7.000000000000000000e+00 1.376000000000000000e+03
3.942830188679245111e+02 2.753924528301886767e+03 5.300000000000000000e+01 6.000000000000000000e+00 1.379000000000000000e+03
2.775000000000000000e+02 3.202900000000000091e+03 2.000000000000000000e+01 7.000000000000000000e+00 1.384000000000000000e+03
4.809090909090909349e+02 2.973090909090909008e+03 2.200000000000000000e+01 7.000000000000000000e+00 1.396000000000000000e+03
6.576923076923077360e+01 8.728205128205128460e+01 3.900000000000000000e+01 1.000000000000000000e+00 1.408000000000000000e+03
4.058666666666666742e+02 8.736333333333333258e+02 9.000000000000000000e+01 3.000000000000000000e+00 1.414000000000000000e+03
5.738461538461538680e+01 3.295538461538461434e+03 2.600000000000000000e+01 7.000000000000000000e+00 1.426000000000000000e+03
1.243333333333333286e+02 1.023333333333333371e+03 4.500000000000000000e+01 3.000000000000000000e+00 1.434000000000000000e+03
2.662142857142857224e+02 3.087642857142857338e+03 1.400000000000000000e+01 7.000000000000000000e+00 1.447000000000000000e+03
8.948387096774193594e+01 3.200903225806451701e+03 3.100000000000000000e+01 7.000000000000000000e+00 1.457000000000000000e+03
7.731785714285714448e+02 2.053607142857142662e+03 2.800000000000000000e+01 6.000000000000000000e+00 1.464000000000000000e+03
2.345925925925925810e+02 1.460074074074074133e+03 2.700000000000000000e+01 5.000000000000000000e+00 1.483000000000000000e+03
6.902916666666666288e+02 1.212694444444444343e+03 7.200000000000000000e+01 3.000000000000000000e+00 1.484000000000000000e+03
2.859245283018867667e+02 2.674584905660377444e+03 5.300000000000000000e+01 6.000000000000000000e+00 1.487000000000000000e+03
3.681818181818182012e+01 1.159045454545454504e+03 4.400000000000000000e+01 3.000000000000000000e+00 1.492000000000000000e+03
8.016718750000000000e+02 2.748062500000000000e+03 6.400000000000000000e+01 6.000000000000000000e+00 1.504000000000000000e+03
7.561081081081081265e+02 1.926135135135135215e+03 3.700000000000000000e+01 6.000000000000000000e+00 1.506000000000000000e+03
6.784794520547944785e+02 2.401869863013698705e+03 1.460000000000000000e+02 6.000000000000000000e+00 1.508000000000000000e+03
5.084166666666666856e+02 3.197875000000000000e+03 2.400000000000000000e+01 7.000000000000000000e+00 1.517000000000000000e+03
7.337307692307692832e+02 1.912307692307692378e+03 2.600000000000000000e+01 5.000000000000000000e+00 1.525000000000000000e+03
5.652173913043478493e+00 2.467739130434782510e+03 2.300000000000000000e+01 6.000000000000000000e+00 1.529000000000000000e+03
1.466923076923076792e+02 2.163961538461538566e+03 2.600000000000000000e+01 6.000000000000000000e+00 1.538000000000000000e+03
1.948666666666666742e+02 2.561366666666666788e+03 3.000000000000000000e+01 6.000000000000000000e+00 1.548000000000000000e+03
8.693076923076922640e+02 3.314153846153846189e+03 2.600000000000000000e+01 7.000000000000000000e+00 1.562000000000000000e+03
9.420952380952380736e+02 2.404380952380952294e+03 2.100000000000000000e+01 6.000000000000000000e+00 1.567000000000000000e+03
7.793406593406593856e+02 1.391945054945054835e+03 9.100000000000000000e+01 5.000000000000000000e+00 1.576000000000000000e+03
9.036363636363636260e+02 2.399272727272727479e+03 2.200000000000000000e+01 6.000000000000000000e+00 1.580000000000000000e+03
